Name,Surname,Gender,Month of Birth,Year of Birth,Birth Department,Birth Commune,Email
DENISE,ADAM,women,May,1961,Doubs,CHATILLON LE DUC,ADAM.DENISE@gmail.com
VAN,VERDIER,man,April,2019,Alpes-de-Haute-Provence,SOURRIBES,VERDIER.VAN@gmail.com
STEVE,GAUBERT,women,December,2021,Lozère,CHATEAUNEUF DE RANDON,GAUBERT.STEVE@gmail.com
LUIS,DELAPORTE,women,August,1965,Seine-Maritime,FRENEUSE,DELAPORTE.LUIS@gmail.com
MANUELA,JOUVE,women,January,1998,Côtes-d'Armor,PLUMAUGAT,JOUVE.MANUELA@gmail.com
ARSENE,BLANC,women,April,1980,Indre,VAL FOUZON,BLANC.ARSENE@gmail.com
FRANCOIS,DURET,man,June,2000,Indre,VAL FOUZON,DURET.FRANCOIS@gmail.com
OPHELIE,MARTINEZ,women,August,2021,Indre,VAL FOUZON,MARTINEZ.OPHELIE@gmail.com
BLANDINE,LECOMTE,man,December,1961,Tarn,MARZENS,LECOMTE.BLANDINE@gmail.com
ELISABETH,ROUXEL,women,October,1974,Orne,JUVIGNY SUR ORNE,ROUXEL.ELISABETH@gmail.com
CLOTILDE,DESCAMPS,man,January,1972,Marne,MORANGIS,DESCAMPS.CLOTILDE@gmail.com
MARIELLE,CHAPUIS,women,Mars,1979,Calvados,GOUVIX,CHAPUIS.MARIELLE@gmail.com
SANDRINE,BOSC,man,October,1988,Bouches-du-Rhône,VITROLLES,BOSC.SANDRINE@gmail.com
ANTONIN,BARON,women,July,1993,Aisne,WATIGNY,BARON.ANTONIN@gmail.com
HUSEYIN,GRANDJEAN,man,July,1993,Ille-et-Vilaine,POILLEY,GRANDJEAN.HUSEYIN@gmail.com
ACHILLE,HUE,man,January,2009,Yonne,AUXERRE,HUE.ACHILLE@gmail.com
FOUAD,BOIS,man,July,2020,Yonne,AUXERRE,BOIS.FOUAD@gmail.com
RUDY,JOLIVET,women,April,2019,Gers,BAZUGUES,JOLIVET.RUDY@gmail.com
MEHDI,COSTA,women,August,2006,Ardennes,ANNELLES,COSTA.MEHDI@gmail.com
PASCAL,MAUGER,man,January,1986,Yvelines,NEAUPHLE LE CHATEAU,MAUGER.PASCAL@gmail.com
SMAIL,MEYER,man,May,1954,Pas-de-Calais,HOULLE,MEYER.SMAIL@gmail.com
TEDDY,CAILLET,women,December,2000,Meurthe-et-Moselle,MAGNIERES,CAILLET.TEDDY@gmail.com
REBECCA,POTIER,man,December,1986,Drôme,PENNES LE SEC,POTIER.REBECCA@gmail.com
FIRMIN,GEORGE,man,Mars,2021,Charente-Maritime,PRIGNAC,GEORGE.FIRMIN@gmail.com
VICTORIA,MARTEAU,man,April,1970,Haute-Saône,VY LES RUPT,MARTEAU.VICTORIA@gmail.com
JEANNINE,DROUET,women,July,2000,Ardennes,CHEMERY CHEHERY,DROUET.JEANNINE@gmail.com
ARMELLE,TISSIER,women,July,1973,Ardennes,CHEMERY CHEHERY,TISSIER.ARMELLE@gmail.com
HONORE,GUILLEMIN,women,July,2014,Ardennes,CHEMERY CHEHERY,GUILLEMIN.HONORE@gmail.com
FERDINAND,LACOSTE,man,October,2007,Ardennes,CHEMERY CHEHERY,LACOSTE.FERDINAND@gmail.com
CAROL,MACE,man,February,1979,Rhône,TALUYERS,MACE.CAROL@gmail.com
LAURIANE,BESNARD,man,January,1951,Rhône,TALUYERS,BESNARD.LAURIANE@gmail.com
BACHIR,BATAILLE,man,January,2000,Côte-d'Or,PERNAND VERGELESSES,BATAILLE.BACHIR@gmail.com
LOUISE,JULIEN,man,January,2019,Vosges,GIRMONT VAL D AJOL,JULIEN.LOUISE@gmail.com
FERDINAND,VALENTIN,women,September,2000,Dordogne,BOUILLAC,VALENTIN.FERDINAND@gmail.com
HELENA,BOULANGER,man,October,1997,Orne,MONTSECRET CLAIREFOUGERE,BOULANGER.HELENA@gmail.com
SIMON,TOURNIER,women,November,1967,Orne,MONTSECRET CLAIREFOUGERE,TOURNIER.SIMON@gmail.com
MARTIAL,BOYER,man,February,1987,Charente,MEDILLAC,BOYER.MARTIAL@gmail.com
OCTAVE,LY,man,January,1956,Seine-Maritime,BONSECOURS,LY.OCTAVE@gmail.com
MARIO,GARCIA,man,January,1989,Hautes-Alpes,LA BATIE VIEILLE,GARCIA.MARIO@gmail.com
DIEGO,CARLIER,man,August,2010,Essonne,CHAMARANDE,CARLIER.DIEGO@gmail.com
SYLVESTRE,JACQUES,man,November,2015,Loiret,LA NEUVILLE SUR ESSONNE,JACQUES.SYLVESTRE@gmail.com
MARGOT,DELAHAYE,women,November,1969,Hautes-Alpes,LA BATIE NEUVE,DELAHAYE.MARGOT@gmail.com
HUGO,CHEVALIER,women,June,1977,Côte-d'Or,ST MARTIN DE LA MER,CHEVALIER.HUGO@gmail.com
HERVE,BLANCHARD,man,June,1986,Calvados,BAVENT,BLANCHARD.HERVE@gmail.com
CHRISTEL,CADET,women,July,1996,Calvados,BAVENT,CADET.CHRISTEL@gmail.com
